ID,FID_Grilla,ROW,COL,LAT,LON,AREA,Dias,Seg,PM25(g/proyecto),PM25 (E(g/d)),PM25(g),PM25(t),PM10(g/proyecto),PM10 (E(g/d)),PM10(g),PM10(t)
108,2350,31,38,4.629997,-74.062965,2500.0,56,2217600,22176.0,396.0,22176.0,0.022176,72072.0,1287.0,72072.0,0.072072
109,440,32,38,4.638962,-74.062965,8862.86,478,18928800,671053.217472,1403.877024,365008.02624,0.36500802624,2180922.95678,4562.600328,1186276.08528,1.18627608528
110,440,32,38,4.638962,-74.062965,5164.0,383,15166800,313285.4208,817.9776,205312.3776,0.2053123776,1018177.6176,2658.4272,667265.2272,0.6672652272
111,440,32,38,4.638962,-74.062965,2295.0,305,12078000,110876.04,363.528,94517.28,0.09451728,360347.13,1181.466,307181.16,0.30718116
112,439,32,36,4.638962,-74.080956,5452.02,338,13384800,291896.789184,863.599968,162356.793984,0.162356793984,948664.564848,2806.699896,527659.580448,0.527659580448
113,435,32,27,4.638962,-74.161903,74969.0,133,5266800,1579386.9168,11875.0896,130625.9856,0.1306259856,5133007.4796,38594.0412,424534.4532,0.4245344532
114,2337,32,33,4.638962,-74.107941,5.005,9154,362498400,7257.217968,0.792792,206.918712,0.000206918712,23585.958396,2.576574,672.485814,0.000672485814
115,2337,32,33,4.638962,-74.107941,11042.0,513,20314800,897264.0864,1749.0528,97946.9568,0.0979469568,2916108.2808,5684.4216,318327.6096,0.3183276096
116,2325,32,29,4.638962,-74.143913,24194.39,805,31878000,3085075.05768,3832.391376,663003.708048,0.663003708048,10026493.9375,12455.271972,2154762.05116,2.15476205116
117,2343,32,37,4.638962,-74.07196,492.46,545,21582000,42513.08688,78.005664,20359.478304,0.020359478304,138167.53236,253.518408,66168.304488,0.066168304488
118,2336,32,35,4.638962,-74.089951,489.0,70,2772000,5422.032,77.4576,1084.4064,0.0010844064,17621.604,251.7372,3524.3208,0.0035243208
119,2348,32,39,4.638962,-74.05397,700.0,67,2653200,7428.96,110.88,2882.88,0.00288288,24144.12,360.36,9369.36,0.00936936
120,2315,32,26,4.638962,-74.170898,36146.13,249,9860400,1425661.20101,5725.546992,1425661.20101,1.42566120101,4633398.90328,18608.027724,4633398.90328,4.63339890328
121,439,32,36,4.638962,-74.080956,145.97,193,7642800,4462.478064,23.121648,1988.461728,0.001988461728,14503.053708,75.145356,6462.500616,0.006462500616
122,440,32,38,4.638962,-74.062965,4884.34,476,18849600,368271.421056,773.679456,176398.915968,0.176398915968,1196882.11843,2514.458232,573296.476896,0.573296476896
123,440,32,38,4.638962,-74.062965,60.0,17,673200,161.568,9.504,161.568,0.000161568,525.096,30.888,525.096,0.000525096
124,2325,32,29,4.638962,-74.143913,33270.18,1020,40392000,5375396.44224,5269.996512,964409.361696,0.964409361696,17470038.4373,17127.488664,3134330.42551,3.13433042551
125,440,32,38,4.638962,-74.062965,1315.22,475,18810000,98957.1528,208.330848,54374.351328,0.054374351328,321610.7466,677.075256,176716.641816,0.176716641816
126,440,32,38,4.638962,-74.062965,5623.72,259,10256400,230716.487232,890.797248,180831.841344,0.180831841344,749828.583504,2895.091056,587703.484368,0.587703484368
127,437,32,32,4.638962,-74.116936,2852.24,778,30808800,351496.366848,451.794816,74997.939456,0.074997939456,1142363.19226,1468.333152,243743.303232,0.243743303232
128,2330,32,31,4.638962,-74.125923,55760.0,522,20671200,4610504.448,8832.384,1925459.712,1.925459712,14984139.456,28705.248,6257744.064,6.257744064
130,440,32,38,4.638962,-74.062965,1082.05,271,10731600,46448.51112,171.39672,22110.17688,0.02211017688,150957.66114,557.03934,71858.07486,0.07185807486
131,440,32,38,4.638962,-74.062965,2447.65,514,20354400,199281.78864,387.70776,101191.72536,0.10119172536,647665.81308,1260.05022,328873.10742,0.32887310742
132,440,32,38,4.638962,-74.062965,2751.73,216,8553600,94148.790912,435.874032,56227.750128,0.056227750128,305983.570464,1416.590604,182740.187916,0.182740187916
133,2347,33,38,4.647919,-74.062965,6685.57,262,10375200,277456.503456,1058.994288,211798.8576,0.2117988576,901733.636232,3441.731436,688346.2872,0.6883462872
134,2334,33,34,4.647919,-74.098946,63652.86,635,25146000,6402459.27024,10082.613024,2631561.99926,2.63156199926,20807992.6283,32768.492328,8552576.49761,8.55257649761
135,2342,33,36,4.647919,-74.080956,1701.0,41,1623600,11046.9744,269.4384,11046.9744,0.0110469744,35902.6668,875.6748,35902.6668,0.0359026668
136,2346,33,39,4.647919,-74.05397,17585.65,522,20671200,1454065.95312,2785.56696,727032.97656,0.72703297656,4725714.34764,9053.09262,2362857.17382,2.36285717382
137,2342,33,36,4.647919,-74.080956,6482.24,268,10612800,275178.866688,1026.786816,31830.391296,0.031830391296,894331.316736,3337.057152,103448.771712,0.103448771712
138,2319,33,27,4.647919,-74.161903,1200.0,208,8236800,39536.64,190.08,39536.64,0.03953664,128494.08,617.76,128494.08,0.12849408
139,2342,33,36,4.647919,-74.080956,5421.21,390,15444000,334900.66896,858.719664,224125.832304,0.224125832304,1088427.17412,2790.838908,728408.954988,0.728408954988
140,2346,33,39,4.647919,-74.05397,51728.0,1044,41342400,8554238.6688,8193.7152,2138559.6672,2.1385596672,27801275.6736,26629.5744,6950318.9184,6.9503189184
141,2324,33,29,4.647919,-74.143913,63675.48,783,31006800,7897491.49306,10086.196032,2632497.16435,2.63249716435,25666847.3524,32780.137104,8555615.78414,8.55561578414
142,2346,33,39,4.647919,-74.05397,3270.0,461,18255600,238783.248,517.968,125866.224,0.125866224,776045.556,1683.396,409065.228,0.409065228
143,2324,33,29,4.647919,-74.143913,25895.0,568,22492800,2329804.224,4101.768,1070561.448,1.070561448,7571863.728,13330.746,3479324.706,3.479324706
144,2342,33,36,4.647919,-74.080956,3256.82,523,20710800,269805.390624,515.880288,134644.755168,0.134644755168,876867.519528,1676.610936,437595.454296,0.437595454296
145,2313,33,26,4.647919,-74.170898,26665.84,979,38768400,4135167.80582,4223.869056,1102429.82362,1.10242982362,13439295.3689,13727.574432,3582896.92675,3.58289692675
146,2324,33,29,4.647919,-74.143913,26081.23,476,18849600,1966483.01203,4131.266832,264401.077248,0.264401077248,6391069.7891,13426.617204,859303.501056,0.859303501056
147,2314,33,25,4.647919,-74.179893,13084.06,282,11167200,584449.259328,2072.515104,223831.631232,0.223831631232,1899460.09282,6735.674088,727452.801504,0.727452801504
148,2347,33,38,4.647919,-74.062965,6436.0,409,16196400,416960.1216,1019.4624,266079.6864,0.2660796864,1355120.3952,3313.2528,864758.9808,0.8647589808
149,2324,33,29,4.647919,-74.143913,129778.69,522,20671200,10730725.0269,20556.944496,5365362.51346,5.36536251346,34874856.3375,66810.069612,17437428.1687,17.4374281687
150,2341,33,37,4.647919,-74.07196,6232.0,386,15285600,381039.4368,987.1488,199404.0576,0.1994040576,1238378.1696,3208.2336,648063.1872,0.6480631872
151,2342,33,36,4.647919,-74.080956,1738.65,523,20710800,144035.32968,275.40216,71879.96376,0.07187996376,468114.82146,895.05702,233609.88222,0.23360988222
152,2346,33,39,4.647919,-74.05397,2316.73,230,9108000,84403.10736,366.970032,84403.10736,0.08440310736,274310.09892,1192.652604,274310.09892,0.27431009892
153,2346,33,39,4.647919,-74.05397,4117.54,348,13780800,226971.980928,652.218336,142183.597248,0.142183597248,737658.938016,2119.709592,462096.691056,0.462096691056
154,2334,33,34,4.647919,-74.098946,17305.0,252,9979200,690760.224,2741.112,690760.224,0.690760224,2244970.728,8908.614,2244970.728,2.244970728
155,2347,33,38,4.647919,-74.062965,15668.43,521,20631600,1293059.12155,2481.879312,647770.500432,0.647770500432,4202442.14504,8066.107764,2105254.1264,2.1052541264
156,2324,33,29,4.647919,-74.143913,8450.0,131,5187600,175340.88,1338.48,50862.24,0.05086224,569857.86,4350.06,165302.28,0.16530228
157,2347,33,38,4.647919,-74.062965,15668.43,413,16354800,1025016.15586,2481.879312,590687.276256,0.590687276256,3331302.50653,8066.107764,1919733.64783,1.91973364783
158,2346,33,39,4.647919,-74.05397,16846.0,165,6534000,440287.056,2668.4064,304198.3296,0.3041983296,1430932.932,8672.3208,988644.5712,0.9886445712
159,2313,33,26,4.647919,-74.170898,134.737,805,31878000,17180.584344,21.3423408,5570.3509488,0.0055703509488,55836.899118,69.3626076,18103.6405836,0.0181036405836
160,2346,33,39,4.647919,-74.05397,16845.0,543,21502800,1448858.664,2668.248,397568.952,0.397568952,4708790.658,8671.806,1292099.094,1.292099094
161,411,34,38,4.656898,-74.062965,795.04,185,7326000,23297.85216,125.934336,20527.296768,0.020527296768,75718.01952,409.286592,66713.714496,0.066713714496
162,411,34,38,4.656898,-74.062965,9152.0,456,18057600,661052.6208,1449.6768,378365.6448,0.3783656448,2148421.0176,4711.4496,1229688.3456,1.2296883456
163,74,34,36,4.656898,-74.080956,5542.0,141,5583600,123777.2448,877.8528,56182.5792,0.0561825792,402276.0456,2853.0216,182593.3824,0.1825933824
164,2465,34,28,4.656898,-74.152908,23958.1,580,22968000,2201078.5632,3794.96304,990485.35344,0.99048535344,7153505.3304,12333.62988,3219077.39868,3.21907739868
165,2465,34,28,4.656898,-74.152908,26515.4,630,24948000,2646024.7968,4200.03936,1096210.27296,1.09621027296,8599580.5896,13650.12792,3562683.38712,3.56268338712
