FID,ROW,COL,LAT,LON,FID_Grilla,FECHA_INI,FECHA_FIN,AREA_m2,Dias,Dias_2014
215.0,36.0,40.0,4.67482,-74.044975,2568.0,41623.0,42200.0,1329.55,413.0,261.0
216.0,36.0,39.0,4.67482,-74.05397,2565.0,41728.0,42277.0,4052.0,393.0,198.0
217.0,36.0,39.0,4.67482,-74.05397,2565.0,41720.0,42277.0,4052.43,398.0,203.0
218.0,36.0,34.0,4.67482,-74.098946,393.0,41675.0,41915.0,497.22,173.0,173.0
219.0,36.0,39.0,4.67482,-74.05397,2565.0,41255.0,41988.0,7109.5,524.0,249.0
220.0,36.0,39.0,4.67482,-74.05397,2565.0,41677.0,42247.0,2938.94,407.0,234.0
221.0,36.0,39.0,4.67482,-74.05397,2565.0,41146.0,41669.0,1790.0,374.0,22.0
222.0,36.0,38.0,4.67482,-74.062965,394.0,41426.0,42065.0,7050.0,456.0,261.0
223.0,36.0,31.0,4.67482,-74.125923,2554.0,41257.0,41699.0,17366.0,316.0,43.0
224.0,36.0,39.0,4.67482,-74.05397,2565.0,41463.0,42185.0,6351.0,517.0,261.0
225.0,36.0,34.0,4.67482,-74.098946,393.0,41506.0,42137.0,11116.0,452.0,261.0
226.0,36.0,36.0,4.67482,-74.080956,14.0,41701.0,42658.0,20531.86,685.0,218.0
227.0,36.0,40.0,4.67482,-74.044975,2568.0,41365.0,41943.0,8543.08,415.0,218.0
228.0,36.0,40.0,4.67482,-74.044975,2568.0,41609.0,42127.0,2963.76,370.0,261.0
229.0,36.0,39.0,4.67482,-74.05397,2565.0,41186.0,41674.0,5.332,349.0,25.0
230.0,36.0,39.0,4.67482,-74.05397,2565.0,41186.0,41674.0,5.332,349.0,25.0
231.0,36.0,39.0,4.67482,-74.05397,2565.0,41591.0,42035.0,3093.0,318.0,261.0
232.0,36.0,39.0,4.67482,-74.05397,2565.0,41072.0,41790.0,9.876,514.0,108.0
233.0,36.0,37.0,4.67482,-74.07196,2562.0,41652.0,41768.0,2955.0,85.0,85.0
234.0,36.0,39.0,4.67482,-74.05397,2565.0,41431.0,42215.0,21818.0,561.0,261.0
235.0,36.0,39.0,4.67482,-74.05397,2565.0,41470.0,42039.0,936359.0,408.0,261.0
236.0,36.0,40.0,4.67482,-74.044975,2568.0,41659.0,42277.0,6017.0,443.0,248.0
237.0,36.0,33.0,4.67482,-74.107941,2559.0,41365.0,41951.0,26498.58,420.0,223.0
238.0,36.0,39.0,4.67482,-74.05397,2565.0,41244.0,41943.0,9203.04,500.0,218.0
239.0,36.0,39.0,4.67482,-74.05397,2565.0,41646.0,41835.0,582.0,136.0,136.0
240.0,36.0,31.0,4.67482,-74.125923,2554.0,41533.0,41671.0,3691.56,100.0,23.0
241.0,36.0,39.0,4.67482,-74.05397,2565.0,41548.0,42185.0,10273.24,456.0,261.0
242.0,36.0,40.0,4.67482,-74.044975,2568.0,40780.0,41876.0,11.0,783.0,169.0
243.0,36.0,33.0,4.67482,-74.107941,2559.0,41013.0,41729.0,36209.43,511.0,64.0
244.0,36.0,39.0,4.67482,-74.05397,2565.0,41289.0,41685.0,3920.0,284.0,33.0
245.0,36.0,39.0,4.67482,-74.05397,2565.0,41456.0,42004.0,10.187,393.0,261.0
246.0,36.0,39.0,4.67482,-74.05397,2565.0,41218.0,41759.0,4527.23,388.0,86.0
247.0,36.0,29.0,4.67482,-74.143913,2551.0,41456.0,41790.0,2579.86,240.0,108.0
248.0,36.0,39.0,4.67482,-74.05397,2565.0,41494.0,41995.0,27.0,358.0,254.0
249.0,36.0,39.0,4.67482,-74.05397,2565.0,41431.0,42161.0,2933.84,522.0,261.0
250.0,36.0,40.0,4.67482,-74.044975,2568.0,40429.0,41729.0,3822.51,929.0,64.0
251.0,36.0,34.0,4.67482,-74.098946,393.0,41368.0,41882.0,76.32,367.0,173.0
252.0,36.0,41.0,4.67482,-74.03598,395.0,41673.0,42403.0,7160.0,523.0,238.0
253.0,36.0,40.0,4.67482,-74.044975,2568.0,41374.0,42004.0,12271.9,451.0,261.0
254.0,36.0,32.0,4.67482,-74.116936,392.0,41183.0,41779.0,41122.0,427.0,100.0
255.0,37.0,31.0,4.683784,-74.125923,2553.0,41791.0,43018.0,141788.0,877.0,153.0
256.0,37.0,36.0,4.683784,-74.080956,2561.0,41250.0,41791.0,38311.58,386.0,108.0
257.0,37.0,39.0,4.683784,-74.05397,2563.0,41106.0,41820.0,13390.22,511.0,129.0
258.0,37.0,38.0,4.683784,-74.062965,2564.0,41654.0,42003.0,2845.0,250.0,250.0
259.0,37.0,40.0,4.683784,-74.044975,2567.0,41381.0,42111.0,5449.47,523.0,261.0
260.0,37.0,40.0,4.683784,-74.044975,2567.0,41247.0,41993.0,18104.0,534.0,253.0
261.0,37.0,38.0,4.683784,-74.062965,2564.0,40892.0,41927.0,2425.0,740.0,206.0
262.0,37.0,40.0,4.683784,-74.044975,2567.0,41262.0,41992.0,10256.7,523.0,253.0
263.0,37.0,40.0,4.683784,-74.044975,2567.0,41214.0,41901.0,9661.0,492.0,188.0
264.0,37.0,26.0,4.683784,-74.170898,2543.0,41428.0,41874.0,20402.0,320.0,168.0
265.0,37.0,31.0,4.683784,-74.125923,2553.0,41652.0,42170.0,9449.0,371.0,253.0
266.0,37.0,39.0,4.683784,-74.05397,2563.0,40959.0,41812.0,97200.0,610.0,123.0
267.0,37.0,38.0,4.683784,-74.062965,2564.0,41213.0,41698.0,3180.16,348.0,43.0
268.0,37.0,39.0,4.683784,-74.05397,2563.0,41487.0,42063.0,13.492,412.0,261.0
269.0,37.0,39.0,4.683784,-74.05397,2563.0,41183.0,41737.0,8947.66,397.0,70.0
270.0,37.0,39.0,4.683784,-74.05397,2563.0,40667.0,42369.0,95843.37,1217.0,261.0
271.0,37.0,39.0,4.683784,-74.05397,2563.0,41595.0,42186.0,8139.0,423.0,261.0
